/qpoints/ae-runs
Speedup over Baseline,m_1,pdip_only_512_8
cassandra,0.0,5.089830629853398
tomcat,0.0,3.1461599257114337
kafka,0.0,0.3612925477511686
xalan,0.0,1.4028975018441692
finagle-http,0.0,3.356500434701082
dotty,0.0,2.2442271632613364
tpcc,0.0,3.170745443927503
ycsb,0.0,2.707368645713726
twitter,0.0,3.8700405797694737
voter,0.0,5.989757415075858
smallbank,0.0,2.5345273064915297
tatp,0.0,3.762665105003382
sibench,0.0,5.522007357932912
noop,0.0,4.833858061568641
verilator,0.0,2.7737746555412057
speedometer2.0,0.0,0.7076107773311691
Geomean,0.0,3.205118584190081


